census_record_id,district_source,source_file,source_sheet,source_block,source_row_number,district_and_sectors,total,urban,rural,total_2,unnamed_column_6,urban_2,rural_2,unnamed_column_9,source_sector_value,source_sector_key,sector_column_used,kigali,city_of_kigali,1745555,888882,856673,100,50_9,49_1,gasabo_district,879505,443987,435518,100_2,100_3,rwanda,13246394,3701245,9545149,27_9,72_1,kicukiro_district,491731,249115,242616,50_7,49_3,6429326,6817068,48_5,51_5,unnamed,musanze_district,476522,227340,249182,unnamed_column_2,nyarugenge_district,374319,195780,178539,52_3,47_7
kicukiro:Table 3 - Age group & sex:1:21,kicukiro,kicukiro_population.xlsx,Table 3 - Age group & sex,1,21,,,,,,,,,,,,,,,,,,0.22,,,,,,,0.12,0.32,,,,,,,85+,1075,298,777,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:4,musanze,musanze_population.xlsx,Table 1 - Residence area,1,4,,,,,,,,,,,,,,,,,,100,,,,,,,,,Northern Province,2038511,353729,1684782,17.4,82.6,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:5,musanze,musanze_population.xlsx,Table 1 - Residence area,1,5,,,,,,,,,,,,,,,,,,100,,,,,,,,,Musanze district,476522,234258,242264,49.2,50.8,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:6,musanze,musanze_population.xlsx,Table 1 - Residence area,1,6,,,,,,,,,,,,,,,,,,100,,,,,,,,,Busogo,28264,21143,7121,74.8,25.2,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:7,musanze,musanze_population.xlsx,Table 1 - Residence area,1,7,,,,,,,,,,,,,,,,,,100,,,,,,,,,Cyuve,62179,45193,16986,72.7,27.3,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:8,musanze,musanze_population.xlsx,Table 1 - Residence area,1,8,,,,,,,,,,,,,,,,,,100,,,,,,,,,Gacaca,30719,5483,25236,17.8,82.2,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:9,musanze,musanze_population.xlsx,Table 1 - Residence area,1,9,,,,,,,,,,,,,,,,,,100,,,,,,,,,Gashaki,14272,0,14272,0,100,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:10,musanze,musanze_population.xlsx,Table 1 - Residence area,1,10,,,,,,,,,,,,,,,,,,100,,,,,,,,,Gataraga,26721,10315,16406,38.6,61.4,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:11,musanze,musanze_population.xlsx,Table 1 - Residence area,1,11,,,,,,,,,,,,,,,,,,100,,,,,,,,,Kimonyi,21681,16658,5023,76.8,23.2,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:12,musanze,musanze_population.xlsx,Table 1 - Residence area,1,12,,,,,,,,,,,,,,,,,,100,,,,,,,,,Kinigi,32297,6994,25303,21.7,78.3,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:13,musanze,musanze_population.xlsx,Table 1 - Residence area,1,13,,,,,,,,,,,,,,,,,,100,,,,,,,,,Muhoza,69741,65700,4041,94.2,5.8,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:14,musanze,musanze_population.xlsx,Table 1 - Residence area,1,14,,,,,,,,,,,,,,,,,,100,,,,,,,,,Muko,26472,11479,14993,43.4,56.6,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:15,musanze,musanze_population.xlsx,Table 1 - Residence area,1,15,,,,,,,,,,,,,,,,,,100,,,,,,,,,Musanze,47720,25817,21903,54.1,45.9,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:16,musanze,musanze_population.xlsx,Table 1 - Residence area,1,16,,,,,,,,,,,,,,,,,,100,,,,,,,,,Nkotsi,17349,6639,10710,38.3,61.7,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:17,musanze,musanze_population.xlsx,Table 1 - Residence area,1,17,,,,,,,,,,,,,,,,,,100,,,,,,,,,Nyange,31274,13964,17310,44.7,55.3,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:18,musanze,musanze_population.xlsx,Table 1 - Residence area,1,18,,,,,,,,,,,,,,,,,,100,,,,,,,,,Remera,19987,0,19987,0,100,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:19,musanze,musanze_population.xlsx,Table 1 - Residence area,1,19,,,,,,,,,,,,,,,,,,100,,,,,,,,,Rwaza,23120,981,22139,4.2,95.8,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 1 - Residence area:1:20,musanze,musanze_population.xlsx,Table 1 - Residence area,1,20,,,,,,,,,,,,,,,,,,100,,,,,,,,,Shingiro,24726,3892,20834,15.7,84.3,,,,,,,,,,,,,,,,,,,,,,
musanze:Table 2 - Sex:1:4,musanze,musanze_population.xlsx,Table 2 - Sex,1,4,,,,,,,,,,,,,,,,,,100,,,,,,,,,Northern Province,2038511,,,,,,,,,,,972960,1065551,47.7,52.3,,,,,,,,,,,,
musanze:Table 2 - Sex:1:5,musanze,musanze_population.xlsx,Table 2 - Sex,1,5,,,,,,,,,,,,,,,,,,100,,,,,,,,,Musanze,476522,,,,,,,,,,,227340,249182,47.7,52.3,100,,,,,,,,,,,
musanze:Table 2 - Sex:1:6,musanze,musanze_population.xlsx,Table 2 - Sex,1,6,,,,,,,,,,,,,,,,,,100,,,,,,,,,Busogo,28264,,,,,,,,,,,13290,14974,47,53,5.9,,,,,,,,,,,
musanze:Table 2 - Sex:1:7,musanze,musanze_population.xlsx,Table 2 - Sex,1,7,,,,,,,,,,,,,,,,,,100,,,,,,,,,Cyuve,62179,,,,,,,,,,,29347,32832,47.2,52.8,13,,,,,,,,,,,
musanze:Table 2 - Sex:1:8,musanze,musanze_population.xlsx,Table 2 - Sex,1,8,,,,,,,,,,,,,,,,,,100,,,,,,,,,Gacaca,30719,,,,,,,,,,,14591,16128,47.5,52.5,6.4,,,,,,,,,,,
musanze:Table 2 - Sex:1:9,musanze,musanze_population.xlsx,Table 2 - Sex,1,9,,,,,,,,,,,,,,,,,,100,,,,,,,,,Gashaki,14272,,,,,,,,,,,6761,7511,47.4,52.6,3,,,,,,,,,,,
musanze:Table 2 - Sex:1:10,musanze,musanze_population.xlsx,Table 2 - Sex,1,10,,,,,,,,,,,,,,,,,,100,,,,,,,,,Gataraga,26721,,,,,,,,,,,12686,14035,47.5,52.5,5.6,,,,,,,,,,,
musanze:Table 2 - Sex:1:11,musanze,musanze_population.xlsx,Table 2 - Sex,1,11,,,,,,,,,,,,,,,,,,100,,,,,,,,,Kimonyi,21681,,,,,,,,,,,10114,11567,46.6,53.4,4.5,,,,,,,,,,,
musanze:Table 2 - Sex:1:12,musanze,musanze_population.xlsx,Table 2 - Sex,1,12,,,,,,,,,,,,,,,,,,100,,,,,,,,,Kinigi,32297,,,,,,,,,,,15423,16874,47.8,52.2,6.8,,,,,,,,,,,
musanze:Table 2 - Sex:1:13,musanze,musanze_population.xlsx,Table 2 - Sex,1,13,,,,,,,,,,,,,,,,,,100,,,,,,,,,Muhoza,69741,,,,,,,,,,,35311,34430,50.6,49.4,14.6,,,,,,,,,,,
musanze:Table 2 - Sex:1:14,musanze,musanze_population.xlsx,Table 2 - Sex,1,14,,,,,,,,,,,,,,,,,,100,,,,,,,,,Muko,26472,,,,,,,,,,,12496,13976,47.2,52.8,5.6,,,,,,,,,,,
musanze:Table 2 - Sex:1:15,musanze,musanze_population.xlsx,Table 2 - Sex,1,15,,,,,,,,,,,,,,,,,,100,,,,,,,,,Musanze,47720,,,,,,,,,,,22478,25242,47.1,52.9,10,,,,,,,,,,,
musanze:Table 2 - Sex:1:16,musanze,musanze_population.xlsx,Table 2 - Sex,1,16,,,,,,,,,,,,,,,,,,100,,,,,,,,,Nkotsi,17349,,,,,,,,,,,8108,9241,46.7,53.3,3.6,,,,,,,,,,,
musanze:Table 2 - Sex:1:17,musanze,musanze_population.xlsx,Table 2 - Sex,1,17,,,,,,,,,,,,,,,,,,100,,,,,,,,,Nyange,31274,,,,,,,,,,,14612,16662,46.7,53.3,6.6,,,,,,,,,,,
musanze:Table 2 - Sex:1:18,musanze,musanze_population.xlsx,Table 2 - Sex,1,18,,,,,,,,,,,,,,,,,,100,,,,,,,,,Remera,19987,,,,,,,,,,,9522,10465,47.6,52.4,4.2,,,,,,,,,,,
musanze:Table 2 - Sex:1:19,musanze,musanze_population.xlsx,Table 2 - Sex,1,19,,,,,,,,,,,,,,,,,,100,,,,,,,,,Rwaza,23120,,,,,,,,,,,10998,12122,47.6,52.4,4.9,,,,,,,,,,,
musanze:Table 2 - Sex:1:20,musanze,musanze_population.xlsx,Table 2 - Sex,1,20,,,,,,,,,,,,,,,,,,100,,,,,,,,,Shingiro,24726,,,,,,,,,,,11603,13123,46.9,53.1,5.2,,,,,,,,,,,
musanze:Table 3 - Age group & sex:1:4,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,4,,,,,,,,,,,,,,,,,,12.42,,,,,,,12.96,11.93,,,,,,,,,,,,,,,,,,0-4,59172,29454,29718,,,,,,,
musanze:Table 3 - Age group & sex:1:5,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,5,,,,,,,,,,,,,,,,,,12.56,,,,,,,13.09,12.07,,,,,,,,,,,,,,,,,,2026-09-05 00:00:00,59846,29759,30087,,,,,,,
musanze:Table 3 - Age group & sex:1:6,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,6,,,,,,,,,,,,,,,,,,11.1,,,,,,,11.55,10.68,,,,,,,,,,,,,,,,,,2014-10-01 00:00:00,52880,26261,26619,,,,,,,
musanze:Table 3 - Age group & sex:1:7,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,7,,,,,,,,,,,,,,,,,,11.73,,,,,,,11.87,11.6,,,,,,,,,,,,,,,,,,15-19,55904,26993,28911,,,,,,,
musanze:Table 3 - Age group & sex:1:8,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,8,,,,,,,,,,,,,,,,,,9.48,,,,,,,9.56,9.4,,,,,,,,,,,,,,,,,,20-24,45153,21736,23417,,,,,,,
musanze:Table 3 - Age group & sex:1:9,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,9,,,,,,,,,,,,,,,,,,8.57,,,,,,,8.67,8.47,,,,,,,,,,,,,,,,,,25-29,40826,19716,21110,,,,,,,
musanze:Table 3 - Age group & sex:1:10,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,10,,,,,,,,,,,,,,,,,,8.18,,,,,,,8.34,8.04,,,,,,,,,,,,,,,,,,30-34,38997,18962,20035,,,,,,,
musanze:Table 3 - Age group & sex:1:11,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,11,,,,,,,,,,,,,,,,,,6.8,,,,,,,6.88,6.73,,,,,,,,,,,,,,,,,,35-39,32415,15651,16764,,,,,,,
musanze:Table 3 - Age group & sex:1:12,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,12,,,,,,,,,,,,,,,,,,5.26,,,,,,,5.11,5.4,,,,,,,,,,,,,,,,,,40-44,25073,11625,13448,,,,,,,
musanze:Table 3 - Age group & sex:1:13,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,13,,,,,,,,,,,,,,,,,,3.2,,,,,,,2.94,3.45,,,,,,,,,,,,,,,,,,45-49,15268,6680,8588,,,,,,,
musanze:Table 3 - Age group & sex:1:14,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,14,,,,,,,,,,,,,,,,,,2.51,,,,,,,2.34,2.66,,,,,,,,,,,,,,,,,,50-54,11945,5309,6636,,,,,,,
musanze:Table 3 - Age group & sex:1:15,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,15,,,,,,,,,,,,,,,,,,2.11,,,,,,,1.89,2.3,,,,,,,,,,,,,,,,,,55-59,10044,4307,5737,,,,,,,
musanze:Table 3 - Age group & sex:1:16,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,16,,,,,,,,,,,,,,,,,,2.08,,,,,,,1.76,2.37,,,,,,,,,,,,,,,,,,60-64,9890,3993,5897,,,,,,,
musanze:Table 3 - Age group & sex:1:17,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,17,,,,,,,,,,,,,,,,,,1.48,,,,,,,1.21,1 .73,,,,,,,,,,,,,,,,,,65-69,7047,2747,4300,,,,,,,
musanze:Table 3 - Age group & sex:1:18,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,18,,,,,,,,,,,,,,,,,,1.06,,,,,,,0.82,1.28,,,,,,,,,,,,,,,,,,70-74,5063,1872,3191,,,,,,,
musanze:Table 3 - Age group & sex:1:19,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,19,,,,,,,,,,,,,,,,,,0.59,,,,,,,0.41,0.76,,,,,,,,,,,,,,,,,,75-79,2823,940,1883,,,,,,,
musanze:Table 3 - Age group & sex:1:20,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,20,,,,,,,,,,,,,,,,,,0.43,,,,,,,0.3,0.55,,,,,,,,,,,,,,,,,,80-84,2056,678,1378,,,,,,,
musanze:Table 3 - Age group & sex:1:21,musanze,musanze_population.xlsx,Table 3 - Age group & sex,1,21,,,,,,,,,,,,,,,,,,0.44,,,,,,,0.29,0.59,,,,,,,,,,,,,,,,,,85+,2120,657,1463,,,,,,,
nyarugenge:Table 1 - Residence area:1:4,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,4,,,,,,,,,,,,,,,,,,86.9,,,,,,,,,City of Kigali,1517168,228387,100,13.1,,,,,,,,,,,,,,,,,1745555,,,,,,
nyarugenge:Table 1 - Residence area:1:5,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,5,,,,,,,,,,,,,,,,,,84.4,,,,,,,,,Nyarugenge district,315899,58420,100,15.6,,,,,,,,,,,,,,,,,374319,,,,,,
nyarugenge:Table 1 - Residence area:1:6,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,6,,,,,,,,,,,,,,,,,,100,,,,,,,,,Gitega,26668,,100,,,,,,,,,,,,,,,,,,26668,,,,,,
nyarugenge:Table 1 - Residence area:1:7,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,7,,,,,,,,,,,,,,,,,,46.5,,,,,,,,,Kan in a,14437,16589,100,53.5,,,,,,,,,,,,,,,,,31026,,,,,,
nyarugenge:Table 1 - Residence area:1:8,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,8,,,,,,,,,,,,,,,,,,71.8,,,,,,,,,Ki ali,44185,17314,100,28.2,,,,,,,,,,,,,,,,,61499,,,,,,
nyarugenge:Table 1 - Residence area:1:9,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,9,,,,,,,,,,,,,,,,,,100,,,,,,,,,Kimisa ara,56534,,100,,,,,,,,,,,,,,,,,,56534,,,,,,
nyarugenge:Table 1 - Residence area:1:10,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,10,,,,,,,,,,,,,,,,,,59,,,,,,,,,Ma ere ere,35230,24517,100,41,,,,,,,,,,,,,,,,,59747,,,,,,
nyarugenge:Table 1 - Residence area:1:11,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,11,,,,,,,,,,,,,,,,,,100,,,,,,,,,Muhima,22531,,100,,,,,,,,,,,,,,,,,,22531,,,,,,
nyarugenge:Table 1 - Residence area:1:12,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,12,,,,,,,,,,,,,,,,,,100,,,,,,,,,N akabanda,29580,,100,,,,,,,,,,,,,,,,,,29580,,,,,,
nyarugenge:Table 1 - Residence area:1:13,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,13,,,,,,,,,,,,,,,,,,100,,,,,,,,,N amirambo,55315,,100,,,,,,,,,,,,,,,,,,55315,,,,,,
nyarugenge:Table 1 - Residence area:1:14,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,14,,,,,,,,,,,,,,,,,,100,,,,,,,,,N aru en e,16665,,100,,,,,,,,,,,,,,,,,,16665,,,,,,
nyarugenge:Table 1 - Residence area:1:15,nyarugenge,nyarugenge_population.xlsx,Table 1 - Residence area,1,15,,,,,,,,,,,,,,,,,,100,,,,,,,,,Rwezamen o,14754,,100,,,,,,,,,,,,,,,,,,14754,,,,,,
nyarugenge:Table 2 - Sex:1:6,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,6,,,,,,,,,,,,,,,,,,100,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,Gitenga,26668,13699,12969,51.4,48.6
nyarugenge:Table 2 - Sex:1:7,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,7,,,,,,,,,,,,,,,,,,100,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,Kanyinya,31026,15776,15250,50.8,49.2
nyarugenge:Table 2 - Sex:1:8,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,8,,,,,,,,,,,,,,,,,,100,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,Kigali,61499,32124,29375,52.2,47.8
nyarugenge:Table 2 - Sex:1:9,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,9,,,,,,,,,,,,,,,,,,100,,,,,,,1 5.1,,,,,,,,,,,,,,,,,,,,,,,,Kimisagara,56534,28905,27629,51.1,48.9
nyarugenge:Table 2 - Sex:1:10,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,10,,,,,,,,,,,,,,,,,,100,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,Mageregere,59747,34038,25709,57,43
nyarugenge:Table 2 - Sex:1:11,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,11,,,,,,,,,,,,,,,,,,100,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,Muhima,22531,12286,10245,54.5,45.5
nyarugenge:Table 2 - Sex:1:12,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,12,,,,,,,,,,,,,,,,,,100,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,Nyakabanda,29580,14752,14828,49.9,50.1
nyarugenge:Table 2 - Sex:1:13,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,13,,,,,,,,,,,,,,,,,,100,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,Nyamirambo,55315,27838,27477,50.3,49.7
nyarugenge:Table 2 - Sex:1:14,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,14,,,,,,,,,,,,,,,,,,100,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,Nyarugenge,16665,8806,7859,52.8,47.2
nyarugenge:Table 2 - Sex:1:15,nyarugenge,nyarugenge_population.xlsx,Table 2 - Sex,1,15,,,,,,,,,,,,,,,,,,100,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,Rwezamenyo,14754,7556,7198,51.2,48.8
nyarugenge:Table 3 - Age group & Sex:1:4,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,4,,,,,,,,,,,,,,,,,,11.84,,,,,,,11.36,12.37,,,,,,,,,,,,,,,,,,,,,,,0-4,44330,22246,22084,,
nyarugenge:Table 3 - Age group & Sex:1:5,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,5,,,,,,,,,,,,,,,,,,10.55,,,,,,,10.11,11.04,,,,,,,,,,,,,,,,,,,,,,,05-10,39504,19797,19707,,
nyarugenge:Table 3 - Age group & Sex:1:6,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,6,,,,,,,,,,,,,,,,,,8.78,,,,,,,8.29,9.31,,,,,,,,,,,,,,,,,,,,,,,09-14,32853,16238,16615,,
nyarugenge:Table 3 - Age group & Sex:1:7,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,7,,,,,,,,,,,,,,,,,,10.04,,,,,,,9.03,11.15,,,,,,,,,,,,,,,,,,,,,,,15-19,37586,17674,19912,,
nyarugenge:Table 3 - Age group & Sex:1:8,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,8,,,,,,,,,,,,,,,,,,11.62,,,,,,,11.49,11.77,,,,,,,,,,,,,,,,,,,,,,,20-24,43502,22490,21012,,
nyarugenge:Table 3 - Age group & Sex:1:9,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,9,,,,,,,,,,,,,,,,,,11.44,,,,,,,12,10.83,,,,,,,,,,,,,,,,,,,,,,,25-29,42823,23492,19331,,
nyarugenge:Table 3 - Age group & Sex:1:10,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,10,,,,,,,,,,,,,,,,,,10.22,,,,,,,10.9,9.48,,,,,,,,,,,,,,,,,,,,,,,30-34,38268,21341,16927,,
nyarugenge:Table 3 - Age group & Sex:1:11,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,11,,,,,,,,,,,,,,,,,,8.09,,,,,,,8.8,7.32,,,,,,,,,,,,,,,,,,,,,,,35-39,30295,17229,13066,,
nyarugenge:Table 3 - Age group & Sex:1:12,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,12,,,,,,,,,,,,,,,,,,6.31,,,,,,,7.03,5.51,,,,,,,,,,,,,,,,,,,,,,,40-44,23606,13762,9844,,
nyarugenge:Table 3 - Age group & Sex:1:13,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,13,,,,,,,,,,,,,,,,,,3.61,,,,,,,3.79,3.41,,,,,,,,,,,,,,,,,,,,,,,45-49,13501,7416,6085,,
nyarugenge:Table 3 - Age group & Sex:1:14,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,14,,,,,,,,,,,,,,,,,,2.52,,,,,,,2.59,2.44,,,,,,,,,,,,,,,,,,,,,,,50-54,9419,5062,4357,,
nyarugenge:Table 3 - Age group & Sex:1:15,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,15,,,,,,,,,,,,,,,,,,1.63,,,,,,,1.66,1.61,,,,,,,,,,,,,,,,,,,,,,,55-59,6119,3250,2869,,
nyarugenge:Table 3 - Age group & Sex:1:16,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,16,,,,,,,,,,,,,,,,,,1.31,,,,,,,1.28,1.33,,,,,,,,,,,,,,,,,,,,,,,60-64,4893,2510,2383,,
nyarugenge:Table 3 - Age group & Sex:1:17,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,17,,,,,,,,,,,,,,,,,,0.83,,,,,,,0.76,0.91,,,,,,,,,,,,,,,,,,,,,,,65-69,3105,1483,1622,,
nyarugenge:Table 3 - Age group & Sex:1:18,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,18,,,,,,,,,,,,,,,,,,0.55,,,,,,,0.46,0.64,,,,,,,,,,,,,,,,,,,,,,,70-74,2046,906,1140,,
nyarugenge:Table 3 - Age group & Sex:1:19,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,19,,,,,,,,,,,,,,,,,,0.28,,,,,,,0.22,0.34,,,,,,,,,,,,,,,,,,,,,,,75-79,1035,424,611,,
nyarugenge:Table 3 - Age group & Sex:1:20,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,20,,,,,,,,,,,,,,,,,,0.2,,,,,,,0.12,0.28,,,,,,,,,,,,,,,,,,,,,,,80-84,739,242,497,,
nyarugenge:Table 3 - Age group & Sex:1:21,nyarugenge,nyarugenge_population.xlsx,Table 3 - Age group & Sex,1,21,,,,,,,,,,,,,,,,,,0.19,,,,,,,0.11,0.27,,,,,,,,,,,,,,,,,,,,,,,85+,695,218,477,,
