dataset,column,dtype,null_count,non_null_count
census_records_all,census_record_id,object,0,184
census_records_all,district_source,object,0,184
census_records_all,source_file,object,0,184
census_records_all,source_sheet,object,0,184
census_records_all,source_block,int64,0,184
census_records_all,source_row_number,int64,0,184
census_records_all,district_and_sectors,object,166,18
census_records_all,total,object,166,18
census_records_all,urban,object,168,16
census_records_all,rural,object,173,11
census_records_all,total_2,object,184,0
census_records_all,unnamed_column_6,object,166,18
census_records_all,urban_2,object,168,16
census_records_all,rural_2,object,184,0
census_records_all,unnamed_column_9,object,173,11
census_records_all,source_sector_value,object,184,0
census_records_all,source_sector_key,object,0,184
census_records_all,sector_column_used,object,184,0
census_records_all,kigali,object,168,16
census_records_all,city_of_kigali,object,168,16
census_records_all,1745555,object,168,16
census_records_all,888882,object,168,16
census_records_all,856673,object,168,16
census_records_all,100,object,18,166
census_records_all,50_9,object,168,16
census_records_all,49_1,object,168,16
census_records_all,gasabo_district,object,166,18
census_records_all,879505,object,166,18
census_records_all,443987,object,166,18
census_records_all,435518,object,166,18
census_records_all,100_2,object,92,92
census_records_all,100_3,object,112,72
census_records_all,rwanda,object,126,58
census_records_all,13246394,object,126,58
census_records_all,3701245,object,150,34
census_records_all,9545149,object,152,32
census_records_all,27_9,object,150,34
census_records_all,72_1,object,164,20
census_records_all,kicukiro_district,object,156,28
census_records_all,491731,object,156,28
census_records_all,249115,object,156,28
census_records_all,242616,object,156,28
census_records_all,50_7,object,174,10
census_records_all,49_3,object,174,10
census_records_all,6429326,object,167,17
census_records_all,6817068,object,167,17
census_records_all,48_5,object,167,17
census_records_all,51_5,object,167,17
census_records_all,unnamed,object,168,16
census_records_all,musanze_district,object,166,18
census_records_all,476522,object,166,18
census_records_all,227340,object,166,18
census_records_all,249182,object,166,18
census_records_all,unnamed_column_2,object,172,12
census_records_all,nyarugenge_district,object,156,28
census_records_all,374319,object,156,28
census_records_all,195780,object,156,28
census_records_all,178539,object,156,28
census_records_all,52_3,object,174,10
census_records_all,47_7,object,174,10
sector_census,sector_id,object,0,50
sector_census,sector_name,object,0,50
sector_census,district,object,0,50
sector_census,sector_name_key,object,0,50
sector_census,district_key,object,0,50
sector_census,sector_area_km2,float64,0,50
sentinel_all_rows,sentinel_record_id,object,0,18144
sentinel_all_rows,sentinel_source_region,object,0,18144
sentinel_all_rows,sentinel_source_file,object,0,18144
sentinel_all_rows,sentinel_source_row_number,int64,0,18144
sentinel_all_rows,system:index,object,0,18144
sentinel_all_rows,city,object,0,18144
sentinel_all_rows,elevation,float64,7,18137
sentinel_all_rows,latitude,float64,0,18144
sentinel_all_rows,longitude,float64,0,18144
sentinel_all_rows,mndwi,float64,7,18137
sentinel_all_rows,ndbi,float64,7,18137
sentinel_all_rows,ndvi,float64,7,18137
sentinel_all_rows,.geo,object,0,18144
sentinel_all_rows,slope,float64,9100,9044
sentinel_with_sector,sentinel_record_id,object,0,18144
sentinel_with_sector,sentinel_source_region,object,0,18144
sentinel_with_sector,sentinel_source_file,object,0,18144
sentinel_with_sector,sentinel_source_row_number,int64,0,18144
sentinel_with_sector,system:index,object,0,18144
sentinel_with_sector,city,object,0,18144
sentinel_with_sector,elevation,float64,7,18137
sentinel_with_sector,latitude,float64,0,18144
sentinel_with_sector,longitude,float64,0,18144
sentinel_with_sector,mndwi,float64,7,18137
sentinel_with_sector,ndbi,float64,7,18137
sentinel_with_sector,ndvi,float64,7,18137
sentinel_with_sector,.geo,object,0,18144
sentinel_with_sector,slope,float64,9100,9044
sentinel_with_sector,sector_match_status,object,0,18144
sentinel_with_sector,sector_match_method,object,0,18144
sentinel_with_sector,sector_id,object,6665,11479
sentinel_with_sector,sector_name,object,6665,11479
sentinel_with_sector,district,object,6665,11479
sentinel_with_sector,_latitude_numeric,float64,0,18144
sentinel_with_sector,_longitude_numeric,float64,0,18144
sentinel_with_sector,match_predicate,object,6665,11479
sentinel_with_census,sentinel_record_id,object,0,18144
sentinel_with_census,sentinel_source_region,object,0,18144
sentinel_with_census,sentinel_source_file,object,0,18144
sentinel_with_census,sentinel_source_row_number,int64,0,18144
sentinel_with_census,system:index,object,0,18144
sentinel_with_census,city,object,0,18144
sentinel_with_census,elevation,float64,7,18137
sentinel_with_census,latitude,float64,0,18144
sentinel_with_census,longitude,float64,0,18144
sentinel_with_census,mndwi,float64,7,18137
sentinel_with_census,ndbi,float64,7,18137
sentinel_with_census,ndvi,float64,7,18137
sentinel_with_census,.geo,object,0,18144
sentinel_with_census,slope,float64,9100,9044
sentinel_with_census,sector_match_status,object,0,18144
sentinel_with_census,sector_match_method,object,0,18144
sentinel_with_census,sector_id,object,6665,11479
sentinel_with_census,sector_name,object,6665,11479
sentinel_with_census,district,object,6665,11479
sentinel_with_census,_latitude_numeric,float64,0,18144
sentinel_with_census,_longitude_numeric,float64,0,18144
sentinel_with_census,match_predicate,object,6665,11479
sentinel_with_census,sector_name_key,object,6665,11479
sentinel_with_census,district_key,object,6665,11479
sentinel_with_census,sector_area_km2,float64,6665,11479
sector_summary_dataset,sector_id,object,0,50
sector_summary_dataset,sector_name,object,0,50
sector_summary_dataset,district,object,0,50
sector_summary_dataset,sector_name_key,object,0,50
sector_summary_dataset,district_key,object,0,50
sector_summary_dataset,sector_area_km2,float64,0,50
sector_summary_dataset,sentinel__matched_row_count,int64,0,50
sector_summary_dataset,sentinel__elevation__count,int64,0,50
sector_summary_dataset,sentinel__elevation__mean,float64,0,50
sector_summary_dataset,sentinel__elevation__median,float64,0,50
sector_summary_dataset,sentinel__elevation__min,float64,0,50
sector_summary_dataset,sentinel__elevation__max,float64,0,50
sector_summary_dataset,sentinel__elevation__std,float64,0,50
sector_summary_dataset,sentinel__latitude__count,int64,0,50
sector_summary_dataset,sentinel__latitude__mean,float64,0,50
sector_summary_dataset,sentinel__latitude__median,float64,0,50
sector_summary_dataset,sentinel__latitude__min,float64,0,50
sector_summary_dataset,sentinel__latitude__max,float64,0,50
sector_summary_dataset,sentinel__latitude__std,float64,0,50
sector_summary_dataset,sentinel__longitude__count,int64,0,50
sector_summary_dataset,sentinel__longitude__mean,float64,0,50
sector_summary_dataset,sentinel__longitude__median,float64,0,50
sector_summary_dataset,sentinel__longitude__min,float64,0,50
sector_summary_dataset,sentinel__longitude__max,float64,0,50
sector_summary_dataset,sentinel__longitude__std,float64,0,50
sector_summary_dataset,sentinel__mndwi__count,int64,0,50
sector_summary_dataset,sentinel__mndwi__mean,float64,0,50
sector_summary_dataset,sentinel__mndwi__median,float64,0,50
sector_summary_dataset,sentinel__mndwi__min,float64,0,50
sector_summary_dataset,sentinel__mndwi__max,float64,0,50
sector_summary_dataset,sentinel__mndwi__std,float64,0,50
sector_summary_dataset,sentinel__ndbi__count,int64,0,50
sector_summary_dataset,sentinel__ndbi__mean,float64,0,50
sector_summary_dataset,sentinel__ndbi__median,float64,0,50
sector_summary_dataset,sentinel__ndbi__min,float64,0,50
sector_summary_dataset,sentinel__ndbi__max,float64,0,50
sector_summary_dataset,sentinel__ndbi__std,float64,0,50
sector_summary_dataset,sentinel__ndvi__count,int64,0,50
sector_summary_dataset,sentinel__ndvi__mean,float64,0,50
sector_summary_dataset,sentinel__ndvi__median,float64,0,50
sector_summary_dataset,sentinel__ndvi__min,float64,0,50
sector_summary_dataset,sentinel__ndvi__max,float64,0,50
sector_summary_dataset,sentinel__ndvi__std,float64,0,50
sector_summary_dataset,sentinel__slope__count,int64,0,50
sector_summary_dataset,sentinel__slope__mean,float64,15,35
sector_summary_dataset,sentinel__slope__median,float64,15,35
sector_summary_dataset,sentinel__slope__min,float64,15,35
sector_summary_dataset,sentinel__slope__max,float64,15,35
sector_summary_dataset,sentinel__slope__std,float64,15,35
sector_subunit_x10_dataset,sector_subunit_id,object,0,500
sector_subunit_x10_dataset,sector_subunit_index,int64,0,500
sector_subunit_x10_dataset,sector_subunit_count_requested,int64,0,500
sector_subunit_x10_dataset,sentinel__subunit_assignment_method,object,0,500
sector_subunit_x10_dataset,sentinel__subunit_matched_row_count,int64,0,500
sector_subunit_x10_dataset,sector_id,object,0,500
sector_subunit_x10_dataset,sector_name,object,0,500
sector_subunit_x10_dataset,district,object,0,500
sector_subunit_x10_dataset,sector_name_key,object,0,500
sector_subunit_x10_dataset,district_key,object,0,500
sector_subunit_x10_dataset,sector_area_km2,float64,0,500
sector_subunit_x10_dataset,sentinel__elevation__subunit_count,float64,15,485
sector_subunit_x10_dataset,sentinel__elevation__subunit_mean,float64,15,485
sector_subunit_x10_dataset,sentinel__elevation__subunit_median,float64,15,485
sector_subunit_x10_dataset,sentinel__elevation__subunit_min,float64,15,485
sector_subunit_x10_dataset,sentinel__elevation__subunit_max,float64,15,485
sector_subunit_x10_dataset,sentinel__elevation__subunit_std,float64,35,465
sector_subunit_x10_dataset,sentinel__latitude__subunit_count,float64,15,485
sector_subunit_x10_dataset,sentinel__latitude__subunit_mean,float64,15,485
sector_subunit_x10_dataset,sentinel__latitude__subunit_median,float64,15,485
sector_subunit_x10_dataset,sentinel__latitude__subunit_min,float64,15,485
sector_subunit_x10_dataset,sentinel__latitude__subunit_max,float64,15,485
sector_subunit_x10_dataset,sentinel__latitude__subunit_std,float64,35,465
sector_subunit_x10_dataset,sentinel__longitude__subunit_count,float64,15,485
sector_subunit_x10_dataset,sentinel__longitude__subunit_mean,float64,15,485
sector_subunit_x10_dataset,sentinel__longitude__subunit_median,float64,15,485
sector_subunit_x10_dataset,sentinel__longitude__subunit_min,float64,15,485
sector_subunit_x10_dataset,sentinel__longitude__subunit_max,float64,15,485
sector_subunit_x10_dataset,sentinel__longitude__subunit_std,float64,35,465
sector_subunit_x10_dataset,sentinel__mndwi__subunit_count,float64,15,485
sector_subunit_x10_dataset,sentinel__mndwi__subunit_mean,float64,15,485
sector_subunit_x10_dataset,sentinel__mndwi__subunit_median,float64,15,485
sector_subunit_x10_dataset,sentinel__mndwi__subunit_min,float64,15,485
sector_subunit_x10_dataset,sentinel__mndwi__subunit_max,float64,15,485
sector_subunit_x10_dataset,sentinel__mndwi__subunit_std,float64,35,465
sector_subunit_x10_dataset,sentinel__ndbi__subunit_count,float64,15,485
sector_subunit_x10_dataset,sentinel__ndbi__subunit_mean,float64,15,485
sector_subunit_x10_dataset,sentinel__ndbi__subunit_median,float64,15,485
sector_subunit_x10_dataset,sentinel__ndbi__subunit_min,float64,15,485
sector_subunit_x10_dataset,sentinel__ndbi__subunit_max,float64,15,485
sector_subunit_x10_dataset,sentinel__ndbi__subunit_std,float64,35,465
sector_subunit_x10_dataset,sentinel__ndvi__subunit_count,float64,15,485
sector_subunit_x10_dataset,sentinel__ndvi__subunit_mean,float64,15,485
sector_subunit_x10_dataset,sentinel__ndvi__subunit_median,float64,15,485
sector_subunit_x10_dataset,sentinel__ndvi__subunit_min,float64,15,485
sector_subunit_x10_dataset,sentinel__ndvi__subunit_max,float64,15,485
sector_subunit_x10_dataset,sentinel__ndvi__subunit_std,float64,35,465
sector_subunit_x10_dataset,sentinel__slope__subunit_count,float64,15,485
sector_subunit_x10_dataset,sentinel__slope__subunit_mean,float64,165,335
sector_subunit_x10_dataset,sentinel__slope__subunit_median,float64,165,335
sector_subunit_x10_dataset,sentinel__slope__subunit_min,float64,165,335
sector_subunit_x10_dataset,sentinel__slope__subunit_max,float64,165,335
sector_subunit_x10_dataset,sentinel__slope__subunit_std,float64,185,315
